fid,OBJECTID,COUNTRY,CITIES,FUA_OR_CIT,CODE2012,ITEM2012,PROD_DATE,IDENT,AREA,Pop2012,fid_2,cat,value
5,59186,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59185-IE001L1,40100.480414600002405,"56",327775,525519,5
5,59186,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59185-IE001L1,40100.480414600002405,"56",327797,527405,4
5,59186,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59185-IE001L1,40100.480414600002405,"56",327752,528567,4
6,59494,IE,Dublin,IE001L1,"32000","Herbaceous vegetation associations (natural grassland, moors...)","2018",59493-IE001L1,83724.869722500006901,"0",,,
7,59833,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59832-IE001L1,44078.800942900001246,"33",316802,532495,4
7,59833,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59832-IE001L1,44078.800942900001246,"33",316801,532383,7
7,59833,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59832-IE001L1,44078.800942900001246,"33",316794,532049,7
7,59833,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59832-IE001L1,44078.800942900001246,"33",316787,531932,6
7,59833,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59832-IE001L1,44078.800942900001246,"33",316792,531797,9
7,59833,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59832-IE001L1,44078.800942900001246,"33",316784,531503,4
7,59833,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59832-IE001L1,44078.800942900001246,"33",316804,532496,9
7,59833,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59832-IE001L1,44078.800942900001246,"33",316808,532497,6
7,59833,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59832-IE001L1,44078.800942900001246,"33",316809,532609,7
7,59833,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59832-IE001L1,44078.800942900001246,"33",316810,532719,5
7,59833,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59832-IE001L1,44078.800942900001246,"33",316811,532720,6
7,59833,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59832-IE001L1,44078.800942900001246,"33",316812,532721,7
7,59833,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59832-IE001L1,44078.800942900001246,"33",316813,532950,4
7,59833,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59832-IE001L1,44078.800942900001246,"33",316513,534438,6
7,59833,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59832-IE001L1,44078.800942900001246,"33",316690,533800,5
7,59833,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59832-IE001L1,44078.800942900001246,"33",316691,533801,4
7,59833,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59832-IE001L1,44078.800942900001246,"33",316693,533636,5
7,59833,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59832-IE001L1,44078.800942900001246,"33",316492,533494,7
7,59833,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59832-IE001L1,44078.800942900001246,"33",316497,533233,5
7,59833,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59832-IE001L1,44078.800942900001246,"33",316496,533234,5
7,59833,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59832-IE001L1,44078.800942900001246,"33",316696,533104,7
7,59833,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59832-IE001L1,44078.800942900001246,"33",316495,532951,4
7,59833,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59832-IE001L1,44078.800942900001246,"33",316507,532384,6
7,59833,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59832-IE001L1,44078.800942900001246,"33",316515,532385,4
8,59535,IE,Dublin,IE001L1,"14100",Green urban areas,"2018",59534-IE001L1,32496.174325399999361,"0",316500,527882,7
9,59705,IE,Dublin,IE001L1,"32000","Herbaceous vegetation associations (natural grassland, moors...)","2018",59704-IE001L1,37195.855823500001861,"0",316807,529583,4
9,59705,IE,Dublin,IE001L1,"32000","Herbaceous vegetation associations (natural grassland, moors...)","2018",59704-IE001L1,37195.855823500001861,"0",317656,530719,7
10,60166,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",60165-IE001L1,17180.896758300001238,"51",,,
11,59708,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59707-IE001L1,15948.389194400000633,"29",316803,530073,6
11,59708,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59707-IE001L1,15948.389194400000633,"29",316789,530072,4
11,59708,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59707-IE001L1,15948.389194400000633,"29",316788,529898,6
11,59708,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59707-IE001L1,15948.389194400000633,"29",316793,529899,7
11,59708,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59707-IE001L1,15948.389194400000633,"29",316798,529900,4
